feature,importance
failed_payment_count,0.1363381144953895
days_since_last_login,0.09307227638059698
support_satisfaction_score,0.0815259010076252
days_overdue,0.0459931652241056
content_views_last_90,0.04185945728865129
content_engagement_ratio,0.04169175475072346
content_views_last_30,0.04047934215981154
inactive_risk,0.03943645922298296
avg_session_length_minutes,0.03836354069069625
login_engagement_ratio,0.03767352113206594
login_count_last_90,0.03525190785544887
account_age_days,0.03468023885673965
age,0.03202300112729276
monthly_active_days,0.03070284647829307
payment_reliability,0.030650660370049466
profile_completion_percentage,0.030453936344797112
total_revenue,0.027002691610008213
login_count_last_30,0.024787678504043547
high_payment_risk,0.02471348648498789
support_tickets_count,0.024093027284929264
avg_monthly_revenue,0.023757880706666318
total_months_subscribed,0.018736971308021006
feature_adoption_rate,0.01618482170283635
num_features_used,0.015074550806885615
upgrade_count,0.014806333179167071
downgrade_count,0.014484318087948915
subscription_encoded,0.0038843740334231673
low_engagement,0.0022777429058130163
